,trans_date_trans_time,merchant,category,amt,state,dob,merch_lat,merch_long,is_fraud,trans_date,trans_time
0,04-01-2019 00:58,"""Stokes, Christiansen and Sipes""",grocery_net,14.37,AK,1939-11-09,65.654142,-164.722603,True,2019-01-04,00:58
1,04-01-2019 15:06,Predovic Inc,shopping_net,966.11,AK,1939-11-09,65.468863,-165.473127,True,2019-01-04,15:06
2,04-01-2019 22:37,Wisozk and Sons,misc_pos,49.61,AK,1939-11-09,65.347667,-165.914542,True,2019-01-04,22:37
3,04-01-2019 23:06,Murray-Smitham,grocery_pos,295.26,AK,1939-11-09,64.445035,-166.080207,True,2019-01-04,23:06
4,04-01-2019 23:59,Friesen Lt,health_fitness,18.17,AK,1939-11-09,65.447094,-165.446843,True,2019-01-04,23:59
5,05-01-2019 03:15,"""Raynor, Reinger and Hagenes""",gas_transport,20.45,AK,1939-11-09,64.088838,-165.104078,True,2019-01-05,03:15
6,05-01-2019 03:21,Heller-Langosh,gas_transport,18.19,AK,1939-11-09,63.917785,-165.827621,True,2019-01-05,03:21
7,05-01-2019 11:31,Padberg-Welch,grocery_pos,367.29,MO,1954-07-14,39.167065,-93.705245,True,2019-01-05,11:31
8,05-01-2019 18:03,McGlynn-Heathcote,misc_net,768.15,AK,1939-11-09,64.623325,-166.403973,True,2019-01-05,18:03
9,05-01-2019 22:02,Dooley-Thompson,misc_net,849.49,AK,1939-11-09,65.266065,-164.865352,True,2019-01-05,22:02
10,05-01-2019 22:05,"""Gottlieb, Considine and Schultz""",shopping_net,1177.79,MO,1954-07-14,39.288305,-92.476947,True,2019-01-05,22:05
11,05-01-2019 22:12,"""Moen, Reinger and Murphy""",grocery_pos,307.09,AK,1939-11-09,64.909145,-164.712087,True,2019-01-05,22:12
12,05-01-2019 22:18,"""Hauck, Dietrich and Funk""",kids_pets,4.58,AK,1939-11-09,65.052892,-166.067029,True,2019-01-05,22:18
13,05-01-2019 22:32,Pouros-Haag,shopping_pos,730.78,AK,1939-11-09,65.233866,-166.550779,True,2019-01-05,22:32
14,05-01-2019 22:33,Goyette Inc,shopping_net,1006.4,AK,1939-11-09,65.220316,-165.005725,True,2019-01-05,22:33
15,05-01-2019 22:38,"""Baumbach, Strosin and Nicolas""",shopping_pos,830.72,AK,1939-11-09,65.710538,-165.986117,True,2019-01-05,22:38
16,05-01-2019 23:17,Pacocha-O'Reilly,grocery_pos,311.92,AK,1939-11-09,64.79501,-165.670735,True,2019-01-05,23:17
17,05-01-2019 23:26,Barrows PLC,shopping_pos,762.93,MO,1954-07-14,40.205262,-93.499211,True,2019-01-05,23:26
18,06-01-2019 18:39,Fisher-Schowalte,shopping_net,855.88,MO,1954-07-14,40.786018,-93.301092,True,2019-01-06,18:39
19,06-01-2019 23:33,Gleason-Macejkovic,shopping_net,909.29,MO,1954-07-14,40.977312,-93.55098,True,2019-01-06,23:33
20,12-01-2019 01:46,Kutch LLC,gas_transport,7.04,NE,1974-06-21,40.287778,-98.570998,True,2019-01-12,01:46
21,12-01-2019 15:36,Kihn Inc,shopping_pos,644.4,NE,1974-06-21,40.834742,-99.895337,True,2019-01-12,15:36
22,12-01-2019 23:09,Kris-Weimann,misc_net,784.77,NE,1974-06-21,40.341318,-99.045651,True,2019-01-12,23:09
23,12-01-2019 23:57,"""Kihn, Abernathy and Douglas""",shopping_net,1116.8,NE,1974-06-21,41.192006,-99.230584,True,2019-01-12,23:57
24,13-01-2019 00:14,Kiehn-Emmerich,grocery_pos,320.6,NE,1974-06-21,41.867565,-99.096279,True,2019-01-13,00:14
25,13-01-2019 01:59,"""Osinski, Ledner and Leuschke""",grocery_pos,276.8,NE,1974-06-21,41.700959,-98.207349,True,2019-01-13,01:59
26,13-01-2019 02:16,Vandervort-Funk,grocery_pos,336.2,NE,1974-06-21,41.965421,-98.334757,True,2019-01-13,02:16
27,13-01-2019 21:10,Terry-Huel,shopping_net,994.92,CA,1955-06-12,38.075623,-122.14827,True,2019-01-13,21:10
28,13-01-2019 22:01,Volkman-Predovic,shopping_net,1062.95,NE,1974-06-21,41.942402,-98.005584,True,2019-01-13,22:01
29,13-01-2019 22:17,"""Roob, Conn and Tremblay""",shopping_pos,770.94,NE,1974-06-21,41.569284,-98.87645,True,2019-01-13,22:17
